96.4,98.3,90.0,100.0,100.0,0.89,1.47,9.52,300.06,5.38,-9.50,0,0
97.2,99.9,91.8,100.0,100.0,0.85,1.45,9.58,300.06,5.38,-9.50,0,0
100.0,99.2,90.8,100.0,100.0,0.79,1.01,9.11,359.56,5.44,-6.25,0,0
94.2,95.8,90.4,100.0,100.0,0.77,0.96,9.11,359.56,5.44,-6.25,0,0
95.3,96.5,88.6,100.0,100.0,0.76,0.99,9.10,359.56,5.44,-6.25,0,0
96.8,96.7,88.8,100.0,100.0,0.79,0.99,9.14,359.56,5.44,-6.25,0,0
99.8,99.5,91.8,100.0,100.0,0.80,0.99,9.15,359.56,5.44,-6.25,0,0
95.6,96.5,88.4,100.0,100.0,0.77,0.99,9.11,359.56,5.44,-6.25,0,0
99.3,99.4,91.6,100.0,100.0,0.79,0.99,9.13,359.56,5.44,-6.25,0,0
94.3,96.1,91.4,100.0,100.0,0.77,1.00,9.10,359.56,5.44,-6.25,0,0
93.7,97.9,91.8,100.0,100.0,0.78,0.98,9.15,359.56,5.44,-6.25,0,0
94.2,96.0,88.5,100.0,100.0,0.79,1.02,9.15,359.56,5.44,-6.25,0,0
100.0,98.9,90.8,100.0,100.0,0.78,1.00,9.10,359.56,5.44,-6.25,0,0
93.6,98.3,92.6,100.0,100.0,0.75,0.99,9.09,359.56,5.44,-6.25,0,0
99.7,99.9,92.0,100.0,100.0,0.79,0.99,9.16,359.56,5.44,-6.25,0,0
94.8,96.4,88.5,100.0,100.0,0.78,1.00,9.11,359.56,5.44,-6.25,0,0
100.0,99.9,91.8,100.0,100.0,0.77,0.99,9.16,359.56,5.44,-6.25,0,0
97.7,97.7,89.6,100.0,100.0,0.79,0.99,9.12,359.56,5.44,-6.25,0,0
94.2,95.6,87.4,100.0,100.0,0.77,0.99,9.13,359.56,5.44,-6.25,0,0
99.0,98.5,90.3,100.0,100.0,0.77,0.97,9.13,359.56,5.44,-6.25,0,0
98.5,99.9,92.1,100.0,100.0,0.79,0.98,9.14,359.56,5.44,-6.25,0,0
95.3,96.4,90.1,100.0,100.0,0.77,1.03,9.13,359.56,5.44,-6.25,0,0
100.0,99.0,91.3,100.0,100.0,0.77,1.00,9.11,359.56,5.44,-6.25,0,0
93.8,98.5,92.0,100.0,100.0,0.77,1.00,9.14,359.56,5.44,-6.25,0,0
99.8,99.9,91.7,100.0,100.0,0.76,1.00,9.13,359.56,5.44,-6.25,0,0
93.9,96.4,91.6,100.0,100.0,0.78,1.01,9.12,359.56,5.44,-6.25,0,0
97.2,97.5,89.3,100.0,100.0,0.78,0.99,9.14,359.56,5.44,-6.25,0,0
100.0,99.2,92.1,100.0,100.0,0.77,0.99,9.09,359.56,5.44,-6.25,0,0
100.0,99.0,91.6,100.0,100.0,0.79,1.01,9.14,359.56,5.44,-6.25,0,0
99.2,99.1,91.6,100.0,100.0,0.78,0.99,9.12,359.56,5.44,-6.25,0,0
96.0,98.9,92.1,100.0,100.0,0.80,1.00,9.09,359.56,5.44,-6.25,0,0
99.0,99.6,91.0,100.0,100.0,0.79,0.99,9.15,359.56,5.44,-6.25,0,0
96.6,97.2,89.0,100.0,100.0,0.79,0.99,9.09,359.56,5.44,-6.25,0,0
96.1,96.9,88.7,100.0,100.0,0.79,1.00,9.17,359.56,5.44,-6.25,0,0
97.5,97.6,89.2,100.0,100.0,0.79,1.01,9.10,359.56,5.44,-6.25,1,0
99.9,99.7,91.7,100.0,100.0,0.77,1.00,9.12,359.56,5.44,-6.25,1,0
99.8,99.0,91.9,100.0,100.0,0.79,0.97,9.11,359.56,5.44,-6.25,1,0
94.2,95.8,91.2,100.0,100.0,0.82,1.00,9.10,359.56,5.44,-6.25,1,0
100.0,98.5,90.9,100.0,100.0,0.77,1.01,9.12,359.56,5.44,-6.25,0,0
95.0,96.4,88.2,100.0,100.0,0.78,1.01,9.12,359.56,5.44,-6.25,0,0
99.7,99.4,91.2,100.0,100.0,0.72,0.99,9.10,359.56,5.44,-6.25,0,0
96.4,99.2,91.8,100.0,100.0,0.74,1.01,9.14,359.56,5.44,-6.25,0,0
99.6,99.1,91.5,100.0,100.0,0.79,0.99,9.11,359.56,5.38,-6.25,0,0
94.3,95.9,88.2,100.0,100.0,0.75,1.03,9.16,359.56,5.38,-6.25,0,0
100.0,99.3,90.8,100.0,100.0,0.79,1.02,9.12,359.56,5.38,-6.25,0,0
95.2,96.3,88.4,100.0,100.0,0.77,1.01,9.10,359.56,5.38,-6.25,0,0
100.0,99.5,91.5,100.0,100.0,0.79,1.01,9.10,359.56,5.38,-6.25,0,0
94.2,96.7,91.9,100.0,100.0,0.75,1.03,9.12,359.56,5.38,-6.25,0,0
93.8,96.4,91.4,100.0,100.0,0.76,1.00,9.14,359.56,5.38,-6.25,0,0
95.6,96.5,88.5,100.0,100.0,0.76,1.01,9.12,359.56,5.38,-6.25,0,0
99.6,98.9,91.6,100.0,100.0,0.76,1.02,9.15,359.56,5.38,-6.25,0,0
98.9,100.0,92.1,100.0,100.0,0.78,1.01,9.13,359.56,5.38,-6.25,0,0
100.0,99.2,91.0,100.0,100.0,0.76,0.99,9.09,359.56,5.38,-6.25,0,0
93.3,95.3,90.6,100.0,100.0,0.78,1.01,9.12,359.56,5.38,-6.25,0,0
96.6,97.0,89.2,100.0,100.0,0.78,0.99,9.07,359.56,5.38,-6.25,0,0
98.9,99.4,92.0,100.0,100.0,0.76,1.01,9.13,359.56,5.38,-6.25,0,0
99.6,99.4,90.6,100.0,100.0,0.76,1.01,9.11,359.56,5.38,-6.25,0,0
100.0,98.8,90.5,100.0,100.0,0.78,1.02,9.11,359.56,5.38,-6.25,0,0
99.4,98.7,91.3,100.0,100.0,0.76,1.02,9.16,359.56,5.38,-6.25,0,0
99.7,99.0,91.5,100.0,100.0,0.77,0.97,9.09,359.56,5.38,-6.25,0,0
97.8,97.6,89.4,100.0,100.0,0.75,1.02,9.11,359.56,5.38,-6.25,0,0
